instnm,ein
Arizona State University Campus Immersion,860196696
Boston University,042103547 
Brandeis University,042103552 
Brown University,050258809 
California Institute of Technology,951643307
Carnegie Mellon University,250969449
Case Western Reserve University,341018992
Columbia University in the City of New York,603800000
Cornell University,150532082
Dartmouth College,020222111 
Duke University,560532129
Emory University,580566256
George Washington University,530196584
Georgia Institute of Technology-Main Campus,586002023
Harvard University,042103580 
Indiana University-Bloomington,356001673
Johns Hopkins University,520595110
Massachusetts Institute of Technology,042103594 
Michigan State University,386005984
New York University,135562308
Northwestern University,362167817
Ohio State University-Main Campus,316025986
Pennsylvania State University-Main Campus,246000376
Princeton University,210634501
Purdue University-Main Campus,356002041
Rice University,741109620
Rutgers University-New Brunswick,226001086
Stanford University,941156365
Stony Brook University,146013200
Texas A & M University-College Station,746000531
The University of Texas at Austin,746000203
Tufts University,042103634 
Tulane University of Louisiana,720423889
University at Buffalo,146013200
University of Arizona,742652689
University of California-Berkeley,946002123
University of California-Davis,946036494
University of California-Irvine,952226406
University of California-Los Angeles,956006143
University of California-Riverside,956006142
University of California-San Diego,956006144
University of California-Santa Barbara,956006145
University of California-Santa Cruz,941539563
University of Chicago,362177139
University of Colorado Boulder,846000555
University of Florida,596002052
University of Illinois Urbana-Champaign,376000511
University of Iowa,426004813
University of Kansas,481124839
University of Maryland-College Park,526002033
University of Miami,590624458
University of Michigan-Ann Arbor,386006309
University of Minnesota-Twin Cities,416007513
University of Missouri-Columbia,436003859
University of North Carolina at Chapel Hill,566001393
University of Notre Dame,350868188
University of Oregon,464727800
University of Pennsylvania,231352685
University of Pittsburgh-Pittsburgh Campus,250965591
University of Rochester,263800000
University of South Florida,593102112
University of Southern California,951642394
University of Utah,876000525
University of Virginia-Main Campus,546001796
University of Washington-Seattle Campus,916001537
University of Wisconsin-Madison,391805963
Vanderbilt University,620476822
Washington University in St Louis,430653611
Yale University,060646973 
